Product Name,SKU,Factory Cost,Status,Supplier Code,Factory,Category,Sub-Category
Milo Scandinavian Minimalist Suit Chair Velvet-Ecru Champagne,F070-C0,155,Non-Inventory,SCTF-100,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Ecru Beige,F070-CC,155,Non-Inventory,SCTF-101,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Platinum Silver,F070-CD,155,Non-Inventory,SCTF-102,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Sterling,F070-CE,155,Non-Inventory,SCTF-103,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Slate Pebble,F070-C1,155,Non-Inventory,SCTF-104,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Rose Mauve,F070-C2,155,Non-Inventory,SCTF-105,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Nettle Olive,F070-CF,155,Non-Inventory,SCTF-106,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Ginger Cider,F070-C3,155,Non-Inventory,SCTF-107,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Tangerine Orange,F070-C4,155,Non-Inventory,SCTF-108,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Graphite Grey,F070-C5,155,Non-Inventory,SCTF-109,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Ash Brown,F070-C6,155,Non-Inventory,SCTF-110,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Empress Green,F070-C7,155,Non-Inventory,SCTF-111,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Indigo Blue,F070-C8,155,Non-Inventory,SCTF-112,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Royal Violet,F070-CG,155,Non-Inventory,SCTF-113,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Jeweled Plum,F070-C9,155,Non-Inventory,SCTF-114,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Phantom Grey,F070-CH,155,Non-Inventory,SCTF-115,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Midnight Blue,F070-CA,155,Non-Inventory,SCTF-116,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Onyx Black,F070-CJ,155,Non-Inventory,SCTF-117,Titahot,Chairs,Dining Chairs
Milo Scandinavian Minimalist Suit Chair Velvet-Silver Grey,F070-CK,155,Non-Inventory,SCTF-118,Titahot,Chairs,Dining Chairs
