ID,M2-Parent SKU,ERP-Parent SKU,SKU,Product Name,Factory Cost,Status,Supplier Code,Factory,Category,Sub-Category
20913,E005,E005,E005-HC,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Performance Felt-Natural,397,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20912,E005,E005,E005-HD,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Performance Felt-Light Grey,397,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20916,E005,E005,E005-HE,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Performance Felt-Storm,397,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20910,E005,E005,E005-HF,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Performance Felt-Coral Haze,397,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20915,E005,E005,E005-HG,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Performance Felt-Saffron,397,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20909,E005,E005,E005-HH,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Performance Felt-Cactus,397,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20914,E005,E005,E005-HJ,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Performance Felt-Peacock,397,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20911,E005,E005,E005-HK,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Performance Felt-Ink,397,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20918,E005,E005,E005-MA,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Cotton Velvet-Ivory,419,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20919,E005,E005,E005-MB,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Cotton Velvet-Mango,419,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20920,E005,E005,E005-MC,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Cotton Velvet-Bayberry,419,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20921,E005,E005,E005-MD,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Cotton Velvet-Spice,419,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20922,E005,E005,E005-ME,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Cotton Velvet-Blush,419,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20923,E005,E005,E005-MF,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Cotton Velvet-Petal,419,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20924,E005,E005,E005-MG,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Cotton Velvet-Sand,419,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20925,E005,E005,E005-MH,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Cotton Velvet-Dusty Lilac,419,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20928,E005,E005,E005-MK,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Cotton Velvet-Thyme,419,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20930,E005,E005,E005-MP,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Cotton Velvet-Hunter,419,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
20931,E005,E005,E005-MQ,S.C.A.L. Mid Century Modern Upholstered Wood Daybed Cotton Velvet-Wedgewood,419,Non-Inventory,SCTF-100,Titahot,Sofas,Daybeds
