Product SKU,,,,Product Description,Stock,NEW STATUS,Current Qty,Qty Sold,Price,Discounted Price,Supplier,Supplier Price,Alert Limit,Max LImit,Category,Sub-category,Factory
140,,,,Gift Card $100.00 USD,Deactivated,,0,0,100,,Default,,,,,,
398,,,,Mulberry Protection Default Title,Deactivated,,0,0,0,,Other,,,,,,
399,,,,Mulberry Protection Default Title,Deactivated,,0,0,0,,Other,,,,,,
419,,,,Mulberry Protection Default Title,Deactivated,,0,0,0,,Other,,,,,,
1608,M2,,,Lacaster | 6.6ft | SKU 1608-M2 Teak,Deactivated,,0,0,1899,,Other,,,,,,
1608,S1,,,Champlain | 6.6ft | SKU 1608-S1 Teak,Deactivated,,0,0,1899,,Other,,,,,,
612G107ACE027,,,,Mario Bellini Sofa | Combination 007,Deactivated,non-inventory,0,0,0,,Default,,,,,,
613E7FF6583B7,,,,Dsw Chair - Upholstered Fiberglass,Deactivated,,0,10,0,,Default,,,,,,
613E80FCDFDE1,,,,PH 3 1/2 -2 1/2 Glass Table Lamp,Deactivated,,0,0,0,,Default,,,,,,
613E80FD80A61,,,,Ginger Armchair,Deactivated,,0,0,1359,,Default,,,,,,
A0,,,,Cashmere-Wheat-Grey,Deactivated,Inventory,0,36,0,,Other,,,,,,
A001,A0,,,Florence Bench 2 Seaters Cashmere-Wheat Grey,Non-Inventory,,0,0,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,A1,,,Florence Bench 2 Seaters Cashmere-Granite Dark Grey,Non-Inventory,,0,0,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,A2,,,Florence Bench 2 Seaters Cashmere-Chartreuse Green,Non-Inventory,,0,1,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,A3,,,Florence Bench 2 Seaters Cashmere-Snow White,Non-Inventory,,0,0,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,A4,,,Florence Bench 2 Seaters Cashmere-Dijon Yellow,Non-Inventory,,0,0,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,A5,,,Florence Bench 2 Seaters Cashmere-Tiffany Blue,Non-Inventory,,0,0,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,A6,,,Florence Bench 2 Seaters Cashmere-Imperial Red,Non-Inventory,,0,0,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,A7,,,Florence Bench 2 Seaters Cashmere-Cobalt Blue,Non-Inventory,,0,0,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,A8,,,Florence Bench 2 Seaters Cashmere-Pine Green,Non-Inventory,,0,0,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,A9,,,Florence Bench 2 Seaters Cashmere-Blue Grey,Non-Inventory,,0,0,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,AA,,,Florence Bench 2 Seaters Cashmere-Spanish Orange,Non-Inventory,,0,0,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,AB,,,Florence Bench 2 Seaters Cashmere-Cape Sands,Non-Inventory,,0,0,1099,,SCTF-100,$111.00 ,,,Chairs,,Titahot
A001,B0,,,Florence Bench 2 Seaters Boucle Wool-Ruby,Non-Inventory,,0,0,1099,,SCTF-100,$92.00 ,,,Chairs,,Titahot
A001,B2,,,Florence Bench 2 Seaters Boucle Wool-Charcoal Grey,Non-Inventory,Deactivated,0,0,1099,,SCTF-100,$92.00 ,,,Chairs,,Titahot
A001,B3,,,Florence Bench 2 Seaters Boucle Wool-Yellow,Non-Inventory,,0,0,1099,,SCTF-100,$92.00 ,,,Chairs,,Titahot
A001,B5,,,Florence Bench 2 Seaters Boucle Wool-Ocean,Non-Inventory,,0,0,1099,,SCTF-100,$92.00 ,,,Chairs,,Titahot
A001,B7,,,Florence Bench 2 Seaters Boucle Wool-Copper,Non-Inventory,,0,0,1099,,SCTF-100,$92.00 ,,,Chairs,,Titahot
A001,C0,,,Florence Bench 2 Seaters Velvet-Ecru Champagne,Non-Inventory,,0,0,1099,,SCTF-100,$92.00 ,,,Chairs,,Titahot
