zipcode,state
11964,New York
11965,New York
22967,Virginia
36748,Alabama
36782,Alabama
38589,Tennessee
49726,Michigan
54246,Wisconsin
58627,North Dakota
58634,North Dakota
58639,South Dakota
58643,North Dakota
58644,North Dakota
58649,South Dakota
58653,North Dakota
58711,North Dakota
58712,North Dakota
58713,North Dakota
58722,North Dakota
58723,North Dakota
58730,North Dakota
58731,North Dakota
58744,North Dakota
58748,North Dakota
58758,North Dakota
58770,North Dakota
58778,North Dakota
58781,North Dakota
58792,North Dakota
58794,North Dakota
58795,North Dakota
58833,North Dakota
58844,North Dakota
58845,Montana
59001,Montana
59002,Montana
59003,Montana
59004,Montana
59006,Montana
59007,Montana
59008,Wyoming
59010,Montana
59011,Montana
59012,Montana
59013,Montana
59014,Montana
59015,Montana
59016,Montana
59018,Montana
59019,Montana
59020,Montana
59022,Montana
59024,Montana
59025,Montana
59026,Montana
59027,Montana
59028,Montana
59029,Montana
59030,Montana
59031,Montana
59032,Montana
59033,Montana
59034,Montana
59035,Montana
59036,Montana
59037,Montana
59038,Montana
59039,Montana
59041,Montana
59043,Montana
59044,Montana
59046,Montana
59047,Montana
59050,Montana
59052,Montana
59053,Montana
59054,Montana
59055,Montana
59057,Montana
59058,Montana
59059,Montana
59061,Montana
59062,Montana
59063,Montana
59064,Montana
59065,Montana
59066,Montana
59067,Montana
59068,Montana
59069,Montana
59070,Montana
59071,Montana
59072,Montana
59074,Montana
59075,Montana
59076,Montana
59077,Montana
59078,Montana
59079,Montana
59081,Montana
59082,Montana
59083,Montana
59084,Montana
59085,Montana
59086,Montana
59087,Montana
59088,Montana
59089,Montana
59101,Montana
59102,Montana
59103,Montana
59104,Montana
59105,Montana
59106,Montana
59107,Montana
59108,Montana
59111,Montana
59112,Montana
59114,Montana
59115,Montana
59116,Montana
59117,Montana
59201,Montana
59211,Montana
59212,Montana
59213,Montana
59214,Montana
59215,Montana
59217,Montana
59218,Montana
59219,Montana
59221,Montana
59222,Montana
59223,Montana
59225,Montana
59226,Montana
59230,Montana
59231,Montana
59240,Montana
59241,Montana
59242,Montana
59243,Montana
59244,Montana
59247,Montana
59248,Montana
59250,Montana
59252,Montana
59253,Montana
59254,Montana
59255,Montana
59256,Montana
59257,Montana
59258,Montana
59259,Montana
59260,Montana
59261,Montana
59262,Montana
59263,Montana
59270,Montana
59273,Montana
59274,Montana
59276,Montana
59301,Montana
59311,Wyoming
59312,Montana
59313,Montana
59314,Montana
59315,Montana
59316,Montana
59317,Montana
59318,Montana
59319,Montana
59322,Montana
59323,Montana
59324,Montana
59326,Montana
59327,Montana
59330,Montana
59332,Montana
59333,Montana
59336,Montana
59337,Montana
59338,Montana
59339,Montana
59341,Montana
59343,Montana
59344,Montana
59345,Montana
59347,Montana
59349,Montana
59351,Montana
59353,Montana
59354,Montana
59401,Montana
