id,delivery_method,delivery_type,is_remote,eta_from_days,eta_to_days,terminal
1,Local Pickup,in_stock,0,11,3,0
10,Local Pickup,pre_order,0,21,3,0
11,Curbside Delivery,pre_order,0,2,7,0
12,Curbside Delivery (Beyond Point),pre_order,1,3,7,0
13,Local Pickup,pre_order,0,5,11,1
14,Curbside Delivery,pre_order,0,5,14,1
15,Curbside Delivery (Beyond Point),pre_order,1,6,16,1
16,Local Pickup,pre_order,0,6,15,2
17,Curbside Delivery,pre_order,0,6,17,2
18,Curbside Delivery (Beyond Point),pre_order,1,7,19,2
19,Local Pickup,transfer_pre_order,0,2,6,0
2,Curbside Delivery,in_stock,0,3,10,0
20,Curbside Delivery,transfer_pre_order,0,2,7,0
21,Curbside Delivery (Beyond Point),transfer_pre_order,1,3,7,0
22,Local Pickup,transfer_pre_order,0,5,11,1
23,Curbside Delivery,transfer_pre_order,0,5,14,1
24,Curbside Delivery (Beyond Point),transfer_pre_order,1,6,16,1
25,Local Pickup,transfer_pre_order,0,6,15,2
26,Curbside Delivery,transfer_pre_order,0,6,17,2
27,Curbside Delivery (Beyond Point),transfer_pre_order,1,7,19,2
28,Local Pickup,transfer,0,2,6,0
29,Curbside Delivery,transfer,0,2,7,0
3,Curbside Delivery (Beyond Point),in_stock,1,3,8,0
30,Curbside Delivery (Beyond Point),transfer,1,3,7,0
31,Local Pickup,transfer,0,5,11,1
32,Curbside Delivery,transfer,0,5,14,1
33,Curbside Delivery (Beyond Point),transfer,1,6,16,1
34,Local Pickup,transfer,0,6,15,2
35,Curbside Delivery,transfer,0,6,17,2
36,Curbside Delivery (Beyond Point),transfer,1,7,19,2
37,Local Pickup,mto,0,72,95,0
38,Curbside Delivery,mto,0,74,97,0
39,Curbside Delivery (Beyond Point),mto,1,75,98,0
4,Local Pickup,in_stock,0,1,3,1
40,Local Pickup,mto,0,75,101,1
41,Curbside Delivery,mto,0,75,104,1
42,Curbside Delivery (Beyond Point),mto,1,76,106,1
43,Local Pickup,mto,0,76,105,2
44,Curbside Delivery,mto,0,76,107,2
45,Curbside Delivery (Beyond Point),mto,1,77,109,2
46,White Glove Delivery,in_stock,0,5,14,0
47,White Glove Delivery,pre_order,0,5,14,0
48,White Glove Delivery,transfer_pre_order,0,5,14,0
49,White Glove Delivery,transfer,0,5,14,0
5,Curbside Delivery,in_stock,0,5,14,1
50,White Glove Delivery,mto,0,5,14,0
51,White Glove Delivery (Beyond Point),in_stock,1,8,20,0
52,White Glove Delivery (Beyond Point),pre_order,1,8,20,0
53,White Glove Delivery (Beyond Point),transfer_pre_order,1,8,20,0
54,White Glove Delivery (Beyond Point),transfer,1,8,20,0
55,White Glove Delivery (Beyond Point),mto,1,8,20,0
56,White Glove Delivery,in_stock,0,5,14,1
57,White Glove Delivery,pre_order,0,5,14,1
58,White Glove Delivery,transfer_pre_order,0,5,14,1
59,White Glove Delivery,transfer,0,5,14,1
6,Curbside Delivery (Beyond Point),in_stock,1,6,16,1
60,White Glove Delivery,mto,0,5,14,1
61,White Glove Delivery (Beyond Point),in_stock,1,8,20,1
62,White Glove Delivery (Beyond Point),pre_order,1,8,20,1
63,White Glove Delivery (Beyond Point),transfer_pre_order,1,8,20,1
64,White Glove Delivery (Beyond Point),transfer,1,8,20,1
65,White Glove Delivery (Beyond Point),mto,1,8,20,1
66,White Glove Delivery,in_stock,0,5,14,2
67,White Glove Delivery,pre_order,0,5,14,2
68,White Glove Delivery,transfer_pre_order,0,5,14,2
69,White Glove Delivery,transfer,0,5,14,2
7,Local Pickup,in_stock,0,6,15,2
70,White Glove Delivery,mto,0,5,14,2
71,White Glove Delivery (Beyond Point),in_stock,1,8,20,2
72,White Glove Delivery (Beyond Point),pre_order,1,8,20,2
73,White Glove Delivery (Beyond Point),transfer_pre_order,1,8,20,2
74,White Glove Delivery (Beyond Point),transfer,1,8,20,2
75,White Glove Delivery (Beyond Point),mto,1,8,20,2
76,White Glove Delivery,in_stock,0,5,14,3
77,White Glove Delivery,pre_order,0,5,14,3
78,White Glove Delivery,transfer_pre_order,0,5,14,3
79,White Glove Delivery,transfer,0,5,14,3
8,Curbside Delivery,in_stock,0,7,19,2
80,White Glove Delivery,mto,0,5,14,3
81,White Glove Delivery (Beyond Point),in_stock,1,8,20,3
82,White Glove Delivery (Beyond Point),pre_order,1,8,20,3
83,White Glove Delivery (Beyond Point),transfer_pre_order,1,8,20,3
84,White Glove Delivery (Beyond Point),transfer,1,8,20,3
85,White Glove Delivery (Beyond Point),mto,1,8,20,3
9,Curbside Delivery (Beyond Point),in_stock,1,7,19,2
