zipcode,state,is remote
123456,US1,true
45678,US1,false
1234,US1,false
11964,New York,true
11965,New York,true
22967,Virginia test,true
36748,Alabama,true
36748,Georgia,true
36782,Alabama,true
36782,Georgia,true
38589,Georgia,true
49726,Michigan,true
54246,Wisconsin,true
58627,North Dakota,true
58634,North Dakota,true
58639,North Dakota,true
58643,North Dakota,true
58644,North Dakota,true
58649,North Dakota,true
58653,North Dakota,true
58711,North Dakota,true
58712,North Dakota,true
58713,North Dakota,true
58722,North Dakota,true
58723,North Dakota,true
58730,North Dakota,true
58731,North Dakota,true
58744,North Dakota,true
58748,North Dakota,true
58758,North Dakota,true
58770,North Dakota,true
58778,North Dakota,true
58781,North Dakota,true
58792,North Dakota,true
58794,North Dakota,true
58795,North Dakota,true
58833,North Dakota,true
58844,North Dakota,true
58845,North Dakota,true
59002,Montana,true
59003,Montana,true
59004,Montana,true
59006,Montana,true
59007,Montana,true
59008,Montana,true
59010,Montana,true
59011,Montana,true
59012,Montana,true
59013,Montana,true
59014,Montana,true
59015,Montana,true
59016,Montana,true
59018,Montana,true
59019,Montana,true
59020,Montana,true
59022,Montana,true
59024,Montana,true
59025,Montana,true
59026,Montana,true
59027,Montana,true
59028,Montana,true
59029,Montana,true
59030,Montana,true
59031,Montana,true
59032,Montana,true
59033,Montana,true
59034,Montana,true
59035,Montana,true
59036,Montana,true
59037,Montana,true
59038,Montana,true
59039,Montana,true
59041,Montana,true
59043,Montana,true
59044,Montana,true
59046,Montana,true
59047,Montana,true
59050,Montana,true
59052,Montana,true
59053,Montana,true
59054,Montana,true
59055,Montana,true
59057,Montana,true
59058,Montana,true
59059,Montana,true
59061,Montana,true
59062,Montana,true
59063,Montana,true
59064,Montana,true
59065,Montana,true
59066,Montana,true
59067,Montana,true
59068,Montana,true
59069,Montana,true
59070,Montana,true
59071,Montana,true
59072,Montana,true
59074,Montana,true
59075,Montana,true
59076,Montana,true
59077,Montana,true
59078,Montana,true
59079,Montana,true
59081,Montana,true
59082,Montana,true
59083,Montana,true
59084,Montana,true
59085,Montana,true
59086,Montana,true
59087,Montana,true
59088,Montana,true
59089,Montana,true
59101,Montana,true
59102,Montana,true
59103,Montana,true
59104,Montana,true
59105,Montana,true
59106,Montana,true
59107,Montana,true
59108,Montana,true
59111,Montana,true
59112,Montana,true
59114,Montana,true
59115,Montana,true
59116,Montana,true
59117,Montana,true
59201,Montana,true
59211,Montana,true
59212,Montana,true
59213,Montana,true
59214,Montana,true
59215,Montana,true
59217,Montana,true
59218,Montana,true
59219,Montana,true
59221,Montana,true
59222,Montana,true
59223,Montana,true
59225,Montana,true
59226,Montana,true
59230,Montana,true
59231,Montana,true
59240,Montana,true
59241,Montana,true
59242,Montana,true
59243,Montana,true
59244,Montana,true
59247,Montana,true
59248,Montana,true
59250,Montana,true
59252,Montana,true
59253,Montana,true
59254,Montana,true
59255,Montana,true
59256,Montana,true
59257,Montana,true
59258,Montana,true
59259,Montana,true
59260,Montana,true
59261,Montana,true
59262,Montana,true
59263,Montana,true
59270,Montana,true
59273,Montana,true
59274,Montana,true
59276,Montana,true
59301,Montana,true
59311,Montana,true
59312,Montana,true
59313,Montana,true
59314,Montana,true
59315,Montana,true
59316,Montana,true
59317,Montana,true
59318,Montana,true
59319,Montana,true
59322,Montana,true
59323,Montana,true
59324,Montana,true
59326,Montana,true
59327,Montana,true
59330,Montana,true
59332,Montana,true
59333,Montana,true
59336,Montana,true
59337,Montana,true
59338,Montana,true
59339,Montana,true
59341,Montana,true
59343,Montana,true
59344,Montana,true
59345,Montana,true
59347,Montana,true
59349,Montana,true
59351,Montana,true
59353,Montana,true
59354,Montana,true
59401,Montana,true
59402,Montana,true
59403,Montana,true
59404,Montana,true
59405,Montana,true
59406,Montana,true
59410,Montana,true
59411,Montana,true
59412,Montana,true
59414,Montana,true
59416,Montana,true
59417,Montana,true
59418,Montana,true
59419,Montana,true
59421,Montana,true
59422,Montana,true
59424,Montana,true
59425,Montana,true
59427,Montana,true
59430,Montana,true
59432,Montana,true
59433,Montana,true
59434,Montana,true
59435,Montana,true
59436,Montana,true
59440,Montana,true
59441,Montana,true
59442,Montana,true
59443,Montana,true
59444,Montana,true
59446,Montana,true
59448,Montana,true
59450,Montana,true
59451,Montana,true
59452,Montana,true
59453,Montana,true
59454,Montana,true
59456,Montana,true
59457,Montana,true
59460,Montana,true
59461,Montana,true
59462,Montana,true
59463,Montana,true
59464,Montana,true
59465,Montana,true
59466,Montana,true
59467,Montana,true
59468,Montana,true
59469,Montana,true
59471,Montana,true
59472,Montana,true
59474,Montana,true
59477,Montana,true
59479,Montana,true
59480,Montana,true
59482,Montana,true
59483,Montana,true
59484,Montana,true
59485,Montana,true
59486,Montana,true
59487,Montana,true
59489,Montana,true
59501,Montana,true
59520,Montana,true
59521,Montana,true
59522,Montana,true
59523,Montana,true
59524,Montana,true
59525,Montana,true
59526,Montana,true
59527,Montana,true
59528,Montana,true
59529,Montana,true
59530,Montana,true
59531,Montana,true
59532,Montana,true
59535,Montana,true
59537,Montana,true
59538,Montana,true
59540,Montana,true
59542,Montana,true
59544,Montana,true
59545,Montana,true
59546,Montana,true
59547,Montana,true
59601,Montana,true
59602,Montana,true
59604,Montana,true
59620,Montana,true
59623,Montana,true
59624,Montana,true
59625,Montana,true
59626,Montana,true
59631,Montana,true
59632,Montana,true
59633,Montana,true
59634,Montana,true
59635,Montana,true
59636,Montana,true
59638,Montana,true
59639,Montana,true
59640,Montana,true
59641,Montana,true
59642,Montana,true
59643,Montana,true
59644,Montana,true
59645,Montana,true
59647,Montana,true
59648,Montana,true
59701,Montana,true
59702,Montana,true
59703,Montana,true
59707,Montana,true
59710,Montana,true
59711,Montana,true
59714,Montana,true
59715,Montana,true
59716,Montana,true
59717,Montana,true
59718,Montana,true
59720,Montana,true
59721,Montana,true
59722,Montana,true
59724,Montana,true
59725,Montana,true
59727,Montana,true
59728,Montana,true
59729,Montana,true
59730,Montana,true
59731,Montana,true
59732,Montana,true
59733,Montana,true
59735,Montana,true
59736,Montana,true
59739,Montana,true
59740,Montana,true
59741,Montana,true
59743,Montana,true
59745,Montana,true
59746,Montana,true
59747,Montana,true
59748,Montana,true
59749,Montana,true
59750,Montana,true
59751,Montana,true
59752,Montana,true
59754,Montana,true
59755,Montana,true
59756,Montana,true
59758,Montana,true
59759,Montana,true
59760,Montana,true
59761,Montana,true
59762,Montana,true
59771,Montana,true
59772,Montana,true
59801,Montana,true
59802,Montana,true
59803,Montana,true
59804,Montana,true
59806,Montana,true
59807,Montana,true
59808,Montana,true
59812,Montana,true
59820,Montana,true
59821,Montana,true
59823,Montana,true
59824,Montana,true
59825,Montana,true
59826,Montana,true
59827,Montana,true
59828,Montana,true
59829,Montana,true
59830,Montana,true
