State,Capital City,ZIP Codes,
Alabama,Montgomery,35004,36925
Alaska,Juneau,99501,99950
Arizona,Phoenix,85001,86556
Arkansas,Little Rock,71601,72959
California,Sacramento,90001,96162
Colorado,Denver,80001,81658
Connecticut,Hartford,6001,6928
Delaware,Dover,19701,19980
Florida,Tallahassee,32003,34997
Georgia,Atlanta,30002,39901
Hawaii,Honolulu,96701,96898
Idaho,Boise,83201,83888
Illinois,Springfield,60001,62999
Indiana,Indianapolis,46001,47997
Iowa,Des Moines,50001,52809
Kansas,Topeka,66002,67954
Kentucky,Frankfort,40003,42788
Louisiana,Baton Rouge,70001,71497
Maine,Augusta,3901,4992
Maryland,Annapolis,20601,21930
Massachusetts,Boston,1001,5544
Michigan,Lansing,48001,49971
Minnesota,Saint Paul,55001,56763
Mississippi,Jackson,38601,39776
Missouri,Jefferson City,63001,65899
Montana,Helena,59001,59937
Nebraska,Lincoln,68001,69367
Nevada,Carson City,88901,89883
New Hampshire,Concord,3031,3897
New Jersey,Trenton,7001,8989
New Mexico,Santa Fe,87001,88441
New York,Albany,501,14925
North Carolina,Raleigh,27006,28909
North Dakota,Bismarck,58001,58856
Ohio,Columbus,43001,45999
Oklahoma,Oklahoma City,73001,74966
Oregon,Salem,97001,97920
Pennsylvania,Harrisburg,15001,19640
Rhode Island,Providence,2801,2940
South Carolina,Columbia,29001,29945
South Dakota,Pierre,57001,57799
Tennessee,Nashville,37010,38589
Texas,Austin,73301,88595
Utah,Salt Lake City,84001,84791
Vermont,Montpelier,5001,5907
Virginia,Richmond,20101,24658
Washington,Olympia,98001,99403
West Virginia,Charleston,24701,26886
Wisconsin,Madison,53001,54990
,,,
Wyoming,Cheyenne,82001,83128
